Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"BETWEEN MEMORY AND HISTORY, LES LIEUX-DE-MEMOIRE","NORA, P",,,,REPRESENTATIONS,SPR 1989,1989,,26,,,,7,25,,,,,979,34.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,4,8,11,24,15,10,21,21,35,26,27,32,49,70,85,94,107,110,135,81,9
THE NARRATIVE CONSTRUCTION OF REALITY,"BRUNER, J",,,,CRITICAL INQUIRY,FAL 1991,1991,18,1,,,,1,21,,10.1086/448619,,,656,25.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,7,6,11,6,11,10,7,16,12,13,12,21,21,33,36,40,46,63,72,73,67,56,10
Why has critique run out of steam? From matters of fact to matters of concern,"Latour, B",,,,CRITICAL INQUIRY,WIN 2004,2004,30,2,,,,225,248,,10.1086/421123,,,588,45.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,18,31,21,40,44,57,75,75,92,112,11
THE SUBJECT AND POWER,"FOUCAULT, M",,,,CRITICAL INQUIRY,1982,1982,8,4,,,,777,795,,10.1086/448181,,,541,15.46,0,0,0,0,0,0,0,0,0,1,0,1,1,5,2,0,2,3,3,2,8,3,3,7,5,7,5,5,7,1,9,1,7,12,11,15,17,34,38,41,73,92,98,22
THE EVIDENCE OF EXPERIENCE,"SCOTT, JW",,,,CRITICAL INQUIRY,SUM 1991,1991,17,4,,,,773,797,,10.1086/448612,,,535,20.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,16,19,19,12,12,17,6,12,21,3,17,13,13,19,12,19,39,31,41,37,43,57,48,5
THE IMAGE OF OBJECTIVITY,"DASTON, L; GALISON, P",,,,REPRESENTATIONS,FAL 1992,1992,,40,,,,81,128,,,,,381,15.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,9,8,15,18,6,15,24,19,24,19,26,36,24,24,29,19,31,26,2
ON ETHNOGRAPHIC AUTHORITY,"CLIFFORD, J",,,,REPRESENTATIONS,1983,1983,1,2,,,,118,146,,,,,295,8.68,0,0,0,0,0,0,0,0,0,0,0,1,9,12,9,14,12,14,14,11,16,8,20,7,10,2,3,7,7,3,7,1,6,2,11,13,12,4,16,5,14,11,10,4
"REPRESENTING THE COLONIZED, ANTHROPOLOGYS INTERLOCUTORS","SAID, EW",,,,CRITICAL INQUIRY,WIN 1989,1989,15,2,,,,205,225,,10.1086/448481,,,271,9.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,11,18,17,16,17,8,11,12,11,10,9,8,6,6,5,4,8,10,8,9,13,17,12,7,9,0
THE VALUE OF NARRATIVITY IN THE REPRESENTATION OF REALITY,"WHITE, H",,,,CRITICAL INQUIRY,1980,1980,7,1,,,,5,27,,10.1086/448086,,,265,7.16,0,0,0,0,0,0,0,0,1,2,4,3,9,5,12,6,10,6,5,3,5,7,5,10,2,6,8,2,6,6,7,3,10,7,3,9,14,9,14,11,15,24,11,5
3 WOMENS TEXTS AND A CRITIQUE OF IMPERIALISM,"SPIVAK, GC",,,,CRITICAL INQUIRY,1985,1985,12,1,,,,243,261,,10.1086/448328,,,260,8.12,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,6,4,7,8,6,11,6,8,5,9,9,4,4,3,4,6,8,12,11,10,9,6,15,18,23,16,22,1
